Dimensions,Activation,Total Memory Size (MB),NAU Loss @ 25epoch,Baseline Loss @ 25epoch,Loss Diff (NAU-Baseline) @ 25epoch,NAU Loss @ 50epoch,Baseline Loss @ 50epoch,Loss Diff (NAU-Baseline) @ 50epoch,NAU Loss @ 75epoch,Baseline Loss @ 75epoch,Loss Diff (NAU-Baseline) @ 75epoch,NAU Loss @ 100epoch,Baseline Loss @ 100epoch,Loss Diff (NAU-Baseline) @ 100epoch,NAU Loss @ 500epoch,Baseline Loss @ 500epoch,Loss Diff (NAU-Baseline) @ 500epoch,NAU Loss @ 1000epoch,Baseline Loss @ 1000epoch,Loss Diff (NAU-Baseline) @ 1000epoch,NAU Training Time @ 1000epoch (sec),Baseline Training Time @ 1000epoch (sec)
2->512->64->64->1,SELU,0.417564,0.29752248525619507,0.1185174286365509,0.17900505661964417,0.20864835381507874,0.09113416075706482,0.11751419305801392,0.2266218662261963,0.08494848012924194,0.14167338609695435,0.20079749822616577,0.08506309986114502,0.11573439836502075,0.13147850334644318,0.0764167308807373,0.05506177246570587,0.07544676214456558,0.05163147673010826,0.02381528541445732,71.22829699516296,31.837707042694092
2->512->128->128->1,SELU,0.59958,0.26825135946273804,0.11091683059930801,0.15733452886343002,0.19605323672294617,0.08834117650985718,0.10771206021308899,0.1955960988998413,0.08455225825309753,0.11104384064674377,0.17430897057056427,0.08528857678174973,0.08902039378881454,0.12721920013427734,0.07957103103399277,0.047648169100284576,0.08204034715890884,0.06569541990756989,0.01634492725133896,102.08045506477356,39.03262805938721
2->512->256->256->1,SELU,1.061916,0.2571580410003662,0.13742706179618835,0.11973097920417786,0.19364844262599945,0.09199651330709457,0.10165192931890488,0.19488900899887085,0.08693768084049225,0.1079513281583786,0.19270211458206177,0.08447283506393433,0.10822927951812744,0.1547420620918274,0.08058979362249374,0.07415226846933365,0.09931733459234238,0.07170019298791885,0.027617141604423523,198.80387496948242,53.257392168045044
2->512->512->512->1,SELU,2.379804,0.2423354685306549,0.11122512817382812,0.13111034035682678,0.18437343835830688,0.08856335282325745,0.09581008553504944,0.167303204536438,0.08600575476884842,0.08129744976758957,0.15923558175563812,0.08478789776563644,0.07444768399000168,0.1146765649318695,0.08120256662368774,0.03347399830818176,0.10336389392614365,0.07119409739971161,0.03216979652643204,432.28076219558716,87.55879616737366
2->512->1024->1024->1,SELU,6.588444,0.171822652220726,0.12212841212749481,0.0496942400932312,0.13294324278831482,0.09077344089746475,0.04216980189085007,0.12652601301670074,0.08396407216787338,0.04256194084882736,0.12631677091121674,0.08409688621759415,0.04221988469362259,0.10374599695205688,0.08095458894968033,0.022791408002376556,0.07766403257846832,0.07419805973768234,0.0034659728407859802,1369.0100259780884,216.994775056839
2->512->2->2->1,CELU,0.272484,0.10955202579498291,0.6019379496574402,-0.4923859238624573,0.08831620961427689,0.32292476296424866,-0.23460855334997177,0.09393548965454102,0.17283476889133453,-0.07889927923679352,0.08623076230287552,0.11382760107517242,-0.027596838772296906,0.0695258155465126,0.08326642215251923,-0.013740606606006622,0.06310190260410309,0.07105515897274017,-0.007953256368637085,44.982759952545166,26.345506191253662
2->512->4->4->1,CELU,0.276684,0.1416597068309784,0.08612822741270065,0.05553147941827774,0.10648079961538315,0.08731251955032349,0.019168280065059662,0.09218521416187286,0.08520666509866714,0.006978549063205719,0.09113097190856934,0.08397675305604935,0.007154218852519989,0.07298126071691513,0.05873455852270126,0.014246702194213867,0.05872444808483124,0.04807788506150246,0.010646563023328781,45.651012897491455,26.533021926879883
2->512->8->8->1,CELU,0.28518,0.1217799186706543,0.1037190780043602,0.018060840666294098,0.1004493460059166,0.08837713301181793,0.012072212994098663,0.10432486981153488,0.08592108637094498,0.018403783440589905,0.0948220044374466,0.08488529920578003,0.009936705231666565,0.056105464696884155,0.04397885873913765,0.012126605957746506,0.02844589203596115,0.03260521590709686,-0.004159323871135712,48.326775789260864,27.281681776046753
2->512->16->16->1,CELU,0.302556,0.21064825356006622,0.12786392867565155,0.08278432488441467,0.15428395569324493,0.08967370539903641,0.06461025029420853,0.11949863284826279,0.08473087102174759,0.0347677618265152,0.1285596787929535,0.08446232229471207,0.044097356498241425,0.0519491508603096,0.07368091493844986,-0.02173176407814026,0.026592908427119255,0.04021177068352699,-0.013618862256407738,51.975768089294434,27.735326051712036
2->512->32->32->1,CELU,0.338844,0.18777813017368317,0.15969152748584747,0.028086602687835693,0.15253302454948425,0.09891865402460098,0.05361437052488327,0.14475876092910767,0.08642740547657013,0.05833135545253754,0.12592536211013794,0.08388089388608932,0.042044468224048615,0.06365872174501419,0.0647011250257492,-0.0010424032807350159,0.03271443024277687,0.02767343446612358,0.00504099577665329,56.992192029953,28.51722288131714
